Model,KRISHNA,,,,,,,,,
GridWidth,13,,,,,,,,,
GridHeight,10,,,,,,,,,
PhyWidth,35.4,,,,,,,,,
PhyHeight,26.4,,,,,,,,,
Parameters,grid_x,grid_y,grid_z,exist,phy_x,phy_y,phy_z,lamp_id,virtual_key,
LED 0,0,0,NULL,1,0,0,2,7,NULL,
LED 1,1,0,NULL,1,0.6,0,2,5,NULL,
LED 2,2,0,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 3,3,0,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 4,4,0,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 5,5,0,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 6,6,0,NULL,1,35.4,0,2,4,NULL,
LED 7,7,0,NULL,1,36,0,2,6,NULL,
LED 8,0,1,NULL,1,0,0.6,2,9,NULL,
LED 9,1,1,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 10,2,1,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 11,3,1,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 12,4,1,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 13,5,1,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 14,6,1,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 15,7,1,NULL,1,36,0.6,2,8,NULL,
LED 16,0,2,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 17,1,2,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 18,2,2,NULL,1,6.5,9.9,0.9,0,NULL,
LED 19,3,2,NULL,1,14,9.9,0.9,1,NULL,
LED 20,4,2,NULL,1,21.4,9.9,0.9,2,NULL,
LED 21,5,2,NULL,1,28.9,9.9,0.9,3,NULL,
LED 22,6,2,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 23,7,2,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 24,0,3,NULL,1,0,25.9,2,11,NULL,
LED 25,1,3,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 26,2,3,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 27,3,3,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 28,4,3,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 29,5,3,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 30,6,3,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 31,7,3,NULL,1,36,25.9,2,10,NULL,
LED 32,0,4,NULL,1,0,26.5,2,13,NULL,
LED 33,1,4,NULL,1,0.6,26.5,2,15,NULL,
LED 34,2,4,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 35,3,4,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 36,4,4,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 37,5,4,NULL,0,NULL,NULL,NULL,NULL,NULL,
LED 38,6,4,NULL,1,35.4,26.5,2,14,NULL,
LED 39,7,4,NULL,1,36,26.5,2,12,NULL,
